family_name_1,given_name_1,family_name_2,given_name_2,year,field,subfield,type,unrecognized?,reference
Abel,Niels,Jacobi,Carl,,Mathematics,Geometry,map,,https://en.wikipedia.org/wiki/Abel–Jacobi_map
Abel,Niels,Plana,Giovanni,1820,Mathematics,,formula,,https://en.wikipedia.org/wiki/Abel–Plana_formula
Abel,Niels,Ruffini,Paolo,1824,Mathematics,,theorem,,https://en.wikipedia.org/wiki/Abel–Ruffini_theorem
Aharonov,Yakir,Bohm,David,1949,Physics,Quantum Mechanics,effect,Werner Ehrenberg and Raymond Siday,https://en.wikipedia.org/wiki/Aharonov–Bohm_effect
Aharonov,Yakir,Casher,Aharon,1984,Physics,Quantum Mechanics,effect,,https://en.wikipedia.org/wiki/Aharonov–Casher_effect
Atiyah,Michael,Segal,Graeme,1969,Mathematics,Group Theory,theorem,,https://en.wikipedia.org/wiki/Atiyah–Segal_completion_theorem
Atiyah,Michael,Singer,Isadore,1963,Mathematics,,theorem,,https://en.wikipedia.org/wiki/Atiyah–Singer_index_theorem
Barsotti,Iacopo,Tate,John,1962,Mathematics,Group Theory,group,,https://en.wikipedia.org/wiki/Barsotti–Tate_group
Bass,Hyman,Quillen,Daniel,1976,Mathematics,,conjecture,,https://en.wikipedia.org/wiki/Bass–Quillen_conjecture
Bass,Hyman,Serre,Jean-Pierre,,Mathematics,Group Theory,theory,,https://en.wikipedia.org/wiki/Bass–Serre_theory
Batchelor,George,Chandrasekhar,Subrahmanyan,1946,,,equation,,https://en.wikipedia.org/wiki/Batchelor–Chandrasekhar_equation
Beer,August,Lambert,Johann,1729,Physics,Optics,law,Pierre Bouguer,https://en.wikipedia.org/wiki/Beer–Lambert_law
Beltrami,Eugenio,Klein,Felix,1868,Mathematics,Geometry,model,,https://en.wikipedia.org/wiki/Beltrami–Klein_model
Bernal,John,Fowler,Ralph,1933,Chemistry,,rule,,https://en.wikipedia.org/wiki/Ice_rules
Bernstein,Joseph,Sato,Mikio,1971,Mathematics,,polynomial,Takuro Shintani,https://en.wikipedia.org/wiki/Bernstein–Sato_polynomial
Bernstein,Sergei,von Mises,Richard,1949,Mathematics,Probability/Statistics,theorem,Joseph Doob,https://en.wikipedia.org/wiki/Bernstein–von_Mises_theorem
Bethe,Hans,Salpeter,Edwin,1950,Physics,Quantum Mechanics,equation,Nambu,https://en.wikipedia.org/wiki/Bethe–Salpeter_equation
Bethe,Hans,Slater,John,1930,Physics,Quantum Mechanics,curve,,https://en.wikipedia.org/wiki/Bethe–Slater_curve
Biot,Jean-Baptiste,Savart,Félix,1820,Physics,Electromagnetism,law,,https://en.wikipedia.org/wiki/Biot–Savart_law
Bose,Satyendra,Einstein,Albert,1924,Physics,Condensed Matter,state of matter,,https://en.wikipedia.org/wiki/Bose–Einstein_condensate
Bohr,Niels,van Leeuwen,Hendrika,1911,Physics,Magnetism,theorem,,https://en.wikipedia.org/wiki/Bohr–van_Leeuwen_theorem
