family_name,given_name,birth_year,death_year,birth_country,race,gender,reference
Abel,Niels,1802,1829,Norway,white,male,https://en.wikipedia.org/wiki/Niels_Henrik_Abel
Anderson,Philip,1923,2020,United States,white,male,https://en.wikipedia.org/wiki/Philip_W._Anderson
Aharonov,Yakir,1932,,Palestine,white,male,https://en.wikipedia.org/wiki/Yakir_Aharonov
Arago,François,1786,1853,France,white,male,https://en.wikipedia.org/wiki/François_Arago
Atiyah,Michael,1929,2019,England,white,male,https://en.wikipedia.org/wiki/Michael_Atiyah
Bacharach,Isaak,1854,1942,Germany,white,male,https://en.wikipedia.org/wiki/Isaak_Bacharach
Barnes,Ernest,1874,1953,England,white,male,https://en.wikipedia.org/wiki/Ernest_Barnes
Barsotti,Iacopo,1921,1987,Italy,white,male,https://en.wikipedia.org/wiki/Iacopo_Barsotti
Bass,Hyman,1932,,United States,white,male,https://en.wikipedia.org/wiki/Hyman_Bass
Batchelor,George,1920,2000,Australia,white,male,https://en.wikipedia.org/wiki/George_Batchelor
Beer,August,1825,1863,Germany,white,male,https://en.wikipedia.org/wiki/August_Beer
Beltrami,Eugenio,1835,1900,Italy,white,male,https://en.wikipedia.org/wiki/Eugenio_Beltrami
Bénard,Henri,1874,1939,France,white,male,https://en.wikipedia.org/wiki/Henri_Bénard
Bernal,John,1901,1971,Ireland,white,male,https://en.wikipedia.org/wiki/J._D._Bernal
Bernoulli,Daniel,1700,1782,Switzerland,white,male,https://en.wikipedia.org/wiki/Daniel_Bernoulli
Bernstein,Joseph,1945,,Soviet Union,white,male,https://en.wikipedia.org/wiki/Joseph_Bernstein
Bernstein,Sergei,1880,1968,Russia,white,male,https://en.wikipedia.org/wiki/Sergei_Natanovich_Bernstein
Bessel,Friedrich,1784,1846,Germany,white,male,https://en.wikipedia.org/wiki/Friedrich_Bessel
Bethe,Hans,1906,2005,Germany,white,male,https://en.wikipedia.org/wiki/Hans_Bethe
Biot,Jean-Baptiste,1774,1862,Frane,white,male,https://en.wikipedia.org/wiki/Jean-Baptiste_Biot
Bjerknes,Vilhelm,1862,1951,Norway,white,male,https://en.wikipedia.org/wiki/Vilhelm_Bjerknes
Blackwell,David,1919,2010,United States,white,male,https://en.wikipedia.org/wiki/David_Blackwell
Bohm,David,1917,1992,United States,white,male,https://en.wikipedia.org/wiki/David_Bohm
Bohr,Niels,1885,1962,Denmark,white,male,https://en.wikipedia.org/wiki/Niels_Bohr
Boltzmann,Ludwig,1844,1906,Austria,white,male,https://en.wikipedia.org/wiki/Ludwig_Boltzmann
Bolzano,Bernard,1781,1848,Bohemia,white,male,https://en.wikipedia.org/wiki/Bernard_Bolzano
Bonnet,Pierre,1819,1892,France,white,male,https://en.wikipedia.org/wiki/Pierre_Ossian_Bonnet
Born,Max,1882,1970,Germany,white,male,https://en.wikipedia.org/wiki/Max_Born
Bosch,Carl,1874,1940,Germany,white,male,https://en.wikipedia.org/wiki/Carl_Bosch
Bose,Satyendra,1894,1974,India,South Asian,male,https://en.wikipedia.org/wiki/Satyendra_Nath_Bose
Box,George,1919,2013,England,white,male,https://en.wikipedia.org/wiki/George_E._P._Box
Brouwer,Luitzen,1881,1966,Netherlands,white,male,https://en.wikipedia.org/wiki/L._E._J._Brouwer
Brunn,Hermann,1862,1939,Germany,white,male,https://en.wikipedia.org/wiki/Hermann_Brunn
Butler,John,1899,1977,England,white,male,https://en.wikipedia.org/wiki/John_Alfred_Valentine_Butler
Cahen,Eugène,1865,1941,France,white,male,https://g.co/kgs/857QZo
Cauchy,Augustin,1789,1857,France,white,male,https://en.wikipedia.org/wiki/Augustin-Louis_Cauchy
Cardano,Gerolamo,1501,1576,Italy,white,male,https://en.wikipedia.org/wiki/Gerolamo_Cardano
Carleman,Torsten,1892,1949,Sweden,white,male,https://en.wikipedia.org/wiki/Torsten_Carleman
Carnahan,Norman,1942,,United States,white,male,https://en.wikipedia.org/wiki/Norman_F._Carnahan
Cartan,Élie,1869,1951,France,white,male,https://en.wikipedia.org/wiki/Élie_Cartan
Cartier,Pierre,1932,,France,white,male,https://en.wikipedia.org/wiki/Pierre_Cartier_(mathematician)
Casher,Aharon,1941,2018,Palestine,white,male,https://physics.tau.ac.il/in_memoriam_casher
Casorati,Felice,1835,1890,Italy,white,male,https://en.wikipedia.org/wiki/Felice_Casorati_(mathematician)
Castelnuovo,Guido,1865,1952,Italy,white,male,https://en.wikipedia.org/wiki/Guido_Castelnuovo
Cayley,Arthur,1821,1895,England,white,male,https://en.wikipedia.org/wiki/Arthur_Cayley
Čech,Eduard,1893,1960,Austria-Hungary,white,male,https://en.wikipedia.org/wiki/Eduard_Čech
Chandrasekhar,Subrahmanyan,1910,1995,India,South Asian,male,https://en.wikipedia.org/wiki/Subrahmanyan_Chandrasekhar
Chapman,David,1869,1958,England,white,male,https://en.wikipedia.org/wiki/David_Chapman_(chemist)
Chapman,Sydney,1888,1970,England,white,male,https://en.wikipedia.org/wiki/Sydney_Chapman_(mathematician)
Charlier,Carl,1862,1934,Sweden,white,male,https://en.wikipedia.org/wiki/Carl_Charlier
Church,Alonzo,1903,1995,United States,white,male,https://en.wikipedia.org/wiki/Alonzo_Church
Clapeyron,Benoît,1799,1864,France,white,male,https://en.wikipedia.org/wiki/Benoît_Paul_Émile_Clapeyron
Clausius,Rudolf,1822,1888,Germany,white,male,https://en.wikipedia.org/wiki/Rudolf_Clausius
Clebsch,Alfred,1833,1872,Germany,white,male,https://en.wikipedia.org/wiki/Clebsch–Gordan_coefficients
Condon,Edward,1902,1974,United States,white,male,https://en.wikipedia.org/wiki/Edward_Condon
Cotes,Roger,1682,1716,England,white,male,https://en.wikipedia.org/wiki/Roger_Cotes
Couette,Maurice,1858,1943,France,white,male,https://en.wikipedia.org/wiki/Maurice_Couette
Cox,David,1924,,England,white,male,https://en.wikipedia.org/wiki/David_Cox_(statistician)
Cramér,Harald,1893,1985,Sweden,white,male,https://en.wikipedia.org/wiki/Harald_Cramér
Crank,John,1916,2006,England,white,male,https://en.wikipedia.org/wiki/John_Crank
Curie,Pierre,1859,1906,France,white,male,https://en.wikipedia.org/wiki/Pierre_Curie
d’Alembert,Jean,1717,1783,France,white,male,https://en.wikipedia.org/wiki/Jean_le_Rond_d%27Alembert
Darrieus,Georges,188,1979,France,white,male,https://en.wikipedia.org/wiki/Georges_Jean_Marie_Darrieus
Darwin,Charles G,1887,1962,England,white,male,https://en.wikipedia.org/wiki/Charles_Galton_Darwin
de Broglie,Louis,1892,1987,France,white,male,https://en.wikipedia.org/wiki/Louis_de_Broglie
de Franchis,Michele,1875,1946,Italy,white,male,https://en.wikipedia.org/wiki/Michele_de_Franchis
de Haas,Wander,1878,1960,Netherlands,white,male,https://en.wikipedia.org/wiki/Wander_Johannes_de_Haas
de Moivre,Abraham,1667,1754,France,white,male,https://en.wikipedia.org/wiki/Abraham_de_Moivre
de Vries,Gustav,1866,1934,Netherlands,white,male,https://en.wikipedia.org/wiki/Gustav_de_Vries
Debye,Peter,1884,1966,Netherlands,white,male,https://en.wikipedia.org/wiki/Peter_Debye
Deligne,Pierre,1944,,Belgium,white,male,https://en.wikipedia.org/wiki/Pierre_Deligne
Denjoy,Arnaud,1884,1974,France,white,male,https://en.wikipedia.org/wiki/Arnaud_Denjoy
Descartes,René,1596,1650,France,white,male,https://en.wikipedia.org/wiki/René_Descartes
Dickson,Leonard,1874,1954,United States,white,male,https://en.wikipedia.org/wiki/Leonard_Eugene_Dickson
Dieudonné,Jean,1906,1992,France,white,male,https://en.wikipedia.org/wiki/Jean_Dieudonné
Dini,Ulisse,1845,1918,Italy,white,male,https://en.wikipedia.org/wiki/Ulisse_Dini#See_also
Dirac,Paul,1902,1984,England,white,male,https://en.wikipedia.org/wiki/Paul_Dirac
Donsker,Monroe,1924,1991,United States,white,male,https://en.wikipedia.org/wiki/Monroe_D._Donsker
Drinefeld,Vladimir,1954,,Soviet Union,white,male,https://en.wikipedia.org/wiki/Vladimir_Drinfeld
Drude,Paul,1863,1906,Germany,white,male,https://en.wikipedia.org/wiki/Paul_Drude
Duhem,Pierre,1861,1916,France,white,male,https://en.wikipedia.org/wiki/Paul_Drude
Einstein,Albert,1879,1955,Germany,white,male,https://en.wikipedia.org/wiki/Albert_Einstein
Emden,Robert,1862,1940,Switzerland,white,male,https://en.wikipedia.org/wiki/Robert_Emden
Enneper,Alfred,1830,1885,Germany,white,male,https://en.wikipedia.org/wiki/Alfred_Enneper
Enskog,David,1884,1947,Sweden,white,male,https://en.wikipedia.org/wiki/David_Enskog
Euclid,,-350,-250,Greece,white,male,https://en.wikipedia.org/wiki/Euclid
Euler,Leonhard,1707,1783,Switzerland,white,male,https://en.wikipedia.org/wiki/Robert_Emden
Farrell,Thomas,1941,,United States,white,male,https://en.wikipedia.org/wiki/F._Thomas_Farrell
Fekete,Michael,1886,1957,Hungary,white,male,https://en.wikipedia.org/wiki/Michael_Fekete
Fermi,Enrico,1901,1954,Italy,white,male,https://en.wikipedia.org/wiki/Enrico_Fermi
Feynman,Richard,1918,1988,United States,white,male,https://en.wikipedia.org/wiki/Richard_Feynman
Fischer,Franz,1877,1947,Germany,white,male,https://en.wikipedia.org/wiki/Franz_Joseph_Emil_Fischer
Fisher,Ronald,1890,1962,England,white,male,https://en.wikipedia.org/wiki/Ronald_Fisher
Flory,Paul,1910,1985,United States,white,male,https://en.wikipedia.org/wiki/Paul_Flory
Fock,Vladimir,1898,1974,Soviet Union,white,male,https://en.wikipedia.org/wiki/Vladimir_Fock
Fokker,Adriaan,1887,1972,Netherlands,white,male,https://en.wikipedia.org/wiki/Adriaan_Fokker
Ford,Kent,1931,,United States,white,male,https://en.wikipedia.org/wiki/Kent_Ford_(astronomer)
Fourier,Joseph,1768,1830,France,white,male,https://en.wikipedia.org/wiki/Joseph_Fourier
Fowler,Ralph,1889,1944,England,white,male,https://en.wikipedia.org/wiki/Ralph_H._Fowler
Fox,Thomas,,1978,United States,white,male,https://physicstoday.scitation.org/doi/pdf/10.1063/1.2995006
Franck,James,1882,1964,Germany,white,male,https://en.wikipedia.org/wiki/James_Franck
Franz,Rudolph,1826,1902,Germany,white,male,https://en.wikipedia.org/wiki/Rudolph_Franz
Frenkel,Yakov,1894,1952,Russia,white,male,https://en.wikipedia.org/wiki/Yakov_Frenkel
Fresnel,Augustin-Jean,1788,1827,France,white,male,https://en.wikipedia.org/wiki/Augustin-Jean_Fresnel
Gamow,George,1904,1968,Russia,white,male,https://en.wikipedia.org/wiki/George_Gamow
Gauss,Carl,1777,1855,Germany,white,male,https://en.wikipedia.org/wiki/Carl_Friedrich_Gauss
Gell-Mann,Murray,1929,2019,United States,white,male,https://en.wikipedia.org/wiki/Murray_Gell-Mann
Gerlach,Walther,1889,1979,Germany,white,male,https://en.wikipedia.org/wiki/Walther_Gerlach
Gibbons,Gary,1946,,England,white,male,https://en.wikipedia.org/wiki/Gary_Gibbons
Gibbs,Josiah,1839,1903,United States,white,male,https://en.wikipedia.org/wiki/Josiah_Willard_Gibbs
Ginzburg,Vitaly,1916,2009,Russia,white,male,https://en.wikipedia.org/wiki/Vitaly_Ginzburg
Goldstein,Sydney,1903,1989,England,white,male,https://en.wikipedia.org/wiki/Sydney_Goldstein
Goldstone,Jeffrey,1933,,England,white,male,https://en.wikipedia.org/wiki/Jeffrey_Goldstone
Gordan,Paul,1837,1912,Germany,white,male,https://en.wikipedia.org/wiki/Paul_Gordan
Gordon,Walter,1893,1939,Germany,white,male,https://en.wikipedia.org/wiki/Walter_Gordon_(physicist)
Goto,Tetsuo,,,Japan,East Asian,male,
Gouy,Louis,1854,1926,France,white,male,https://en.wikipedia.org/wiki/Louis_Georges_Gouy
Gram,Jørgen,1850,1916,Denmark,white,male,https://en.wikipedia.org/wiki/Jørgen_Pedersen_Gram
Grassmann,Hermann,1809,1877,Germany,white,male,https://en.wikipedia.org/wiki/Hermann_Grassmann
Green,Albert,1912,1999,England,white,male,https://en.wikipedia.org/wiki/Albert_E._Green
Green,George,1793,1841,England,white,male,https://en.wikipedia.org/wiki/George_Green_(mathematician)
Green,Melville,1922,1979,United States,white,male,https://en.wikipedia.org/wiki/Melville_S._Green
Grimm,Hans,1887,1958,Germany,white,male,https://de.zxc.wiki/wiki/Hans_G._Grimm
Gurney,Ronald,1898,1953,England,white,male,https://en.wikipedia.org/wiki/Ronald_Wilfred_Gurney
